Date,Country,Rating,User,Version,Title,Review
9/14/2013,DK,4,Stig Skov Mortensen,2.1,Glimrende app,Viser dine billeder på farten. Rigtig god at dele fra også.
9/14/2013,FR,4,Ed1980,2.1,Excellent service,"Le service rendu est très bien pensé, archiver et redécouvrir ses photos de façon simple, en tâche de fond.Les App iPhone et ipad sont intuitives et agréables.Il ne manque plus que la prise en charge des vidéos."
9/14/2013,US,4,Malaparte,2.1,Good photo organizer app,"Stable, responsive app. Would like to see more functionality around organizing/searching/tagging. Would also like to see the scope broaden to include videos."
9/14/2013,US,5,christiaanv,2.1,All my photos in one place!,"This app and service has changed how I keep, view and share my photos. No more worrying whether I balked up the right photos. Favorite part of the app: Flashback! It's super fun to see what we were up to one, 6 or 8 years ago on this very day!!"
9/14/2013,US,4,KatiePierce83,2.0.6,Person,Great app! Love the flashback!
9/14/2013,US,4,ogbabo,2.1,Good app,"Speedy, efficient app.  Lacks some functionality (album creation, etc.). Features continue to be rolled out."
9/13/2013,IT,5,Giorgio Parravicini,2.1,Ottima,"App funzionale e servizio ottimo. Comodo per gestire una vasta libreria ed averla sempre a portata di mano. Elimina in automatico i duplicati, analizza le foto e le ordina. Non sostituisce una buona libreria di iPhoto o Aperture, ma ne e' un valido compagno."
9/13/2013,DE,5,fexx,2.1,So machen Fotos Spaß,"Super Service und Super App. So machen die eigenen Fotos Spaß. Alles an einem Ort, alles gesichert und man kann stundenlang durch alte Fotos stöbern."
9/13/2013,US,4,FlowerGuy,2.1,More than I expected.,"W/ huge volume of pics, finding one that you want to show someone- this works great."
9/13/2013,US,4,Barry Bates,2.1,Nice app,I highly recommend it
9/13/2013,US,5,nephron,2.0.6,Great app,I love the way it surfaces old photos. My wife and I have gotten a kick out of seeing all the old photos again. It has made me fall in love with my photo collection. I had no idea I had so many great photos. I wish the iPhone app had some more photo editing abilities.
9/13/2013,US,5,KSTech,2.0.6,Excellent cross platform syncing,Flashback feature is genius and engaging.
9/12/2013,FR,5,egrosdidier,2.1,On frôle la perfection,"Plein de petits ""plus"" inutiles à détailler ici (cf le descriptif de l'App).Fonctionnelle, interface agréable, et, surtout, comblement d'un manque rédhibitoire des versions précédentes : on peut enfin supprimer des photos via l'App, sans devoir passer par l'interface web.Un excellent service à prix raisonnable, une excellente intégration à nos iDevices Apple, multiples possibilités d'export et de synchronisations avec divers services et réseaux sociaux : parfait.La suite sera du bonus, toujours bon à prendre.Vu ce qu'elle nous montre ici, cette société va savoir nous surprendre encore pour le meilleur, j'en suis certain."
9/12/2013,GB,4,anthughes,2.1,"Great app, excellent service",Both fun and useful. I have every photo I've ever taken in my pocket and it takes no time at all to locate the specific one I want to see at any given moment. Now just needs RAW and video support support to put it well ahead of the competition.
9/12/2013,CA,5,Kylerbar,2.1,Excellent means of backing up,"Great, quick and generally awesome way if backing up my iPhone photos; love it!"
9/11/2013,GB,5,dylanski,2.0.6,Finally someone who gets how to handle photos,Love it. Easy. Smooth. Practical. Now to unravel my old iPhoto libraries.
9/11/2013,GB,5,Rjm400,2.0.6,Great Storage,Great way to keep all your photos safe. Easy to do and use as its automatic! Probably the best out there.
9/11/2013,GB,5,Billsparky,2.0.6,Everpix ☑☑☑☑☑☑☑☑,If there were boxes to tick for 10out of 10 here are my ticks ☑☑☑☑☑☑☑☑☑☑Awesome app and storageBill
9/11/2013,CH,5,rschellenberg,2.0.6,Macht Spass,Einfach zu bedienen. Rückblick bringt Erinnerungen wieder zurück.
9/11/2013,RU,4,-Disiel-,2.0.6,Норм,"Вроде ничего, пойдёт. Почему-то не все фото залил."
9/11/2013,US,5,Mfg36,2.0.6,Excellent,Use this everyday. Love seeing daily flashbacks. Fast and easy to use.
9/11/2013,US,5,Akag9,2.0.6,Very good!,I like it a lot. Fast upload. Some glitches but overall great. Flashbacks are superb!Hope product gets refined.At least until someone buys them and shuts them down... /sigh
9/10/2013,US,5,Tennessee Williams' Cousin,2.0.6,Excellent,Really like this application. Takes one worry out of my mind for good. Invaluable.
9/10/2013,US,5,zorba02460,2.0.6,Pure awesome,Apple should pay these guys and make this the default way to organize pics. Wife agrees. I hope they add videos at some point too.
9/9/2013,US,5,Charlie:),2.0.6,Better than photo stream!,It won't use up that much of space of you phone and it sync even your iPhoto and any other photos in your computers! I hope they support videos in the future!
9/8/2013,GB,5,Hamiiii,2.0.6,"Simple, but that's all that's needed","The app does everything you'd expect it to do and does so with no hassle at all. It could have other things added to it (and may well do with the release of iOS 7, e.g. Background syncing, maybe even video) but even as is, it's an excellent app"
9/8/2013,FR,5,Benjamin Sa,2.0.6,Un must pour un backup efficace et compréhensif de ses photos,Et tout fonctionne !
9/8/2013,FR,5,zeBooZ,2.0.6,Très pratique et très beau!,"Un outil à la fois performant pour mettre à l'abri ses photos, mais surtout pour y avoir accès partout, n'importe quand. Équipe réactive, bugs rapidement corrigés, et abonnement à prix très compétitif. Un must have!"
9/8/2013,US,5,RMC 70,2.0.6,Love it,It is like having something to refresh my memory of what I was doing most days in the 13 years.
9/8/2013,US,3,TwinsFan8791,2.0.6,"4+ stars for the service, 2 stars for the app","Love the service. It's nearly flawless. My single complaint is that duplication can't figure out Instagram pics and the original as duplicates. And I get that technically they aren't duplicates. But they're close. I digress. The app itself could use some work. No portrait is annoying. Too much tapping to get from ""moment"" to ""moment."" Doesn't seem to auto-update or pull down new pics from the cloud quickly. My biggest gripe is that I wish it could just replace my Photos app. But it can't. I don't want to send a link to an everpix page when I share a picture. I also don't want to download it, then share it, then delete it. I don't know if that's an iOS limitation or a design decision."
9/7/2013,DE,5,NerdismBlog.de,2.0.6,Genial praktisch!,Eine einfach zu bedienende App. Es war noch nie so simpel ein Backup seiner geliebten Fotos zu erstellen.
9/7/2013,US,5,CwillMGMT,2.0.6,EverPix,Pulls all photos from all devices together in 1 place. My wife and I are enjoying pictures we haven't looked at in years. Get a subscription for $50 per year. You'll make that back in time saved the first day you start. Am buying subscriptions for my adult children so we have easier access to grandkids photos.
9/7/2013,US,5,wisc75,2.0.6,Best photo service especially for Mac users,Finally a solution that reads your iPhoto library and uploads to the web.  I've tried every solution out there and this one rocks!
9/7/2013,US,5,wrhubbard,2.0.6,Best pic app ever,Best pic app ever.
9/6/2013,GB,5,Anonymous Howard,2.0.6,Wonderful,"Works like magic, all my photos to browse when I wantVery speedy support as well when I had an issue, plus robust desktop client. Change exit data and the changes propagate easily. All it needs to be perfect is video."
9/6/2013,CH,5,Jonas987,2.0.6,Perfect,Works great displaying your pictures
9/6/2013,US,5,tdpearl,2.0.6,Love the Flashback!,We have 2 yr olds and to see daily what they looked like a year ago is really fun!
9/6/2013,US,5,Geoff Womeldorff,2.0.6,Fun and insightful way to view photos!,"Truly a very interesting service, and a quality app."
9/6/2013,US,5,Hkdonskiing,2.0.6,Great app!,Wonderful app and only website that syncs all photos from all your devices and eliminated duplicates.
9/5/2013,US,5,Johnny Michaels,2.0.6,Nailed it,"Awesome photo service, definitely check it out"
9/5/2013,US,5,YASGINDIA,2.0.6,Great App,"I uploaded more than 10,000 photos and I am so glad it is all organized."
9/5/2013,US,5,stevej31,2.0.6,Great app!,Great cross-platform support. Uploads photos quickly.
9/5/2013,US,5,Magnus-Andreas Aase,2.0.6,Fantastic—the most useful photo service I have ever used.,"Never mind that it syncs all the images from all your devices, removes duplicates, organizes them by date, etc.—all which is great and done in an elegant way.The ""wow""-feature is the simple, yet brilliant, flashback of images you took on in the past on that specific date. It has become a daily tradition for me and my family to look at!Great work!"
9/4/2013,GB,5,Andy-Carlisle,2.0.6,Safe and fun,"Great storage and backup, great apps, love the flashback, to remember old photos"
9/4/2013,ES,5,Jamorl,2.0.6,Genial!!,Merece la pena!
9/4/2013,RU,5,[ML],2.0.6,Portrait  orientation,Please make portrait orientation too. Great app!
9/4/2013,US,5,yn0htna,2.0.6,Great way to keep photos,"So easy to upload photos from computer, worth the $50 a year just so I can easily access them."
9/3/2013,SE,4,himynameisjonas,2.0.6,Grym app,"Har synkat över 35000 foton och alla finns nu tillgängliga på webben, på iPhone och på min iPad"
9/3/2013,GB,5,cogarch,2.0.6,An app that actually adds value to your collection,"Handles a library of 35,000 pictures with ease"
9/3/2013,US,5,Temjin,2.0.6,Awesome,"Totally love this app, just wish there was support for tags"
9/3/2013,CA,1,scronje,2.0.6,Forced to reviewthis app,"I am a on a paid subscription to Everpix. The app forces me to ""Rate the App"" every week or so. NO WAY TO TURN THE #%}{* REMINDER OFF!"
9/3/2013,US,3,Zone1982,2.0.6,"Awesome, but....",Please allow for portrait orientation. Not allowing it is a massive oversight.
9/3/2013,US,4,John zakarai,2.0.6,Pretty good,Needs video support
9/2/2013,FR,4,Grego75,2.0.6,Prometteuse,Application qui semble prometteuse. À voir à la longue si elle tient ses promesses d'efficacité en matière de tri et stockage dans le cloud.
9/2/2013,US,4,CPOSharkey,2.0.6,"Very Good, Duplicate Control Needs Work","It seems to be the best option for power users. I'm not sure I trust that they won't raise prices in the future, but that's speculation for all cloud services."
9/2/2013,CA,5,holeyman,2.0.6,enjoy the service,like icloud for pictures but multi sourcereally handy and works well
9/1/2013,NO,5,jgauti,2.0.6,The best picture uploading app,I have tried many if these and Everpix is the best.
9/1/2013,JP,4,takseki,2.0.6,楽しくなってきた。,1年前の写真が送られて来るようになって面白くなってきました。それだけに使ってもいいくらい。
8/31/2013,GB,3,Jim McGuigan,2.0.6,Crashing,Great app when it works but it keeps crashing
8/31/2013,US,5,Lizabethjo,2.0.6,Love this APP!,"Love all my pics in ""one"" place! Love the flashback feature!"
8/31/2013,CA,5,Jaxson Khan,2.0.6,Excellent,This app is a must-have.
8/30/2013,FR,5,Oliray75,2.0.6,Excellente,"Excellente app pour sauvegarder et accéder à toutes ses photos, quelque soit la source."
8/30/2013,US,5,Dunge,2.0.5,Worth the $$,Great app and service
8/30/2013,US,5,Bripab007,2.0.6,Nearly perfect,This has got to be the most painless way to sync a photo library and be able to logically sort through it and share photos with others. If only it synced video...
8/30/2013,US,5,austicious,2.0.6,A large portion of the population will want this.,This is perfect for all the people that desperately want to organize their photos but don't have the time to do so.
8/30/2013,US,5,Winkyeah,2.0.6,"Fast, well-executed, and useful",This app and its accompanying service are fantastic. Constantly updated. The best photo service I've used and I've tried everything from Smugmug to Flickr to Zenfolio. Perfect for sharing memories.
8/29/2013,AU,3,lemmalemma,2.0.6,Flashbacks are good,It would be the complete photo managing app if it had tagging.
8/29/2013,US,4,Samacur,2.0.5,Good photo collection,"Nice way of gathering all photos into one nice interface. I really like the ""day in history"", photo pages, and the ""highlights"". Room for improvement:Include videosPhoto editingSimplified ordering of multiple photos at once"
8/29/2013,CA,5,Aaron Adetuyi,2.0.6,Great way to backup/organize pictures.,This is a great app and worth the annual price.
8/29/2013,US,5,The Moho,2.0.6,Amazing Service,Everpix is the photo management software I have been looking for. Amazing.
8/28/2013,NL,5,Juan Esteban Rios,2.0.6,Great app!,A great option to store your valuable memories. Works great in all devices.
8/28/2013,AU,4,massivechicken,2.0.6,Good but,"Needs the following;1. Delete photo ability from all clients (I don't want ALL my photos synced). I know you can hide from the web client but this is a cumbersome, tiring experience with multiple photos to delete.2. More photo discovery features. The best part about this app is being surprised by old photos of events that you forgot about. I.e have a location filter3. Actual integration with the mosaic product instead of just a link to the dodgy app.Brilliant service. Subscriber for life. Am sure it can only get better"
8/28/2013,US,5,ozt1ks,2.0.6,May be the best photo service out there...,"Been looking for a photo service where I could upload pictures from multiple services and be able to see them on all my devices (MacBook air, iPad, and iPhone, as well as on the web hopefully). The main contenders in the area are: Everpix, Loom, and Flickr.Everpix gets all the major services (iPhoto library, Facebook, Instagram), provides ""flashback"" (a look at past photos on the same day in past years) automatically, and de-duplication.Loom is good for album views.Flickr is decent at sharing and for a social piece.To top it off, the support from the Everpix team is great.... Fast response and accurate answers."
8/28/2013,US,4,straylight990,2.0.5,Pretty solid,"Lacking some key features (delete, for example) from the full desktop site, but otherwise a lovely way to browse my 60k photos."
8/27/2013,GB,4,David Tanner,2.0.5,Excellent app for viewing and archiving your photos,The Flashback feature is particularly great.
8/27/2013,NL,4,Ron Digger,2.0.5,Everpix,These guys found a really nice and convenient way to manage your photos. The flashback feature of this app ensures that you will see photos from last year instead of hiding them somewhere in a folder on your harddisk. Great!
8/27/2013,US,5,gBrad,2.0.5,A trip down memory lane,"This has quickly become our favorite app! Every morning, we look forward to seeing pictures from the past. Great idea, great execution."
8/25/2013,GB,5,bartlet4ever,2.0.5,Just works,It's great
8/25/2013,US,5,World traveler99,2.0.5,Awesome App!!!,Love the flashback feature.  I love it when I get an alert to check out the new flash back.  It puts my old photo to use.
8/24/2013,GB,5,paulgrav,2.0.5,Great way to store and share pics,The app is great. Works way better than Dropbox at syncing your pics.
8/24/2013,GB,5,KieranYo,2.0.5,10/10/2013,Exactly what I have been waiting for. Planning to upgrade to paid member very soon.
8/24/2013,DE,5,widemedia,2.0.5,Best ever....,macht richtig Spass! Super gemacht.
8/24/2013,FR,5,Orfalaise,2.0.5,Application bien pensée!,"J'ai découvert Everpix il y a un mois et ai souscrit à l'option payante. C'est très bien conçu, mes photos sont accessibles à partir de tous mes appareils et de n'importe quel ordinateur. Les photos prennent très peu de place, plus besoin de saturer la mémoire de l'iPhone... À essayer sans hésiter..."
8/24/2013,US,5,SethTrudeau,2.0.4,It's the little things,"Everpix just does everything I want it to do. Intuitive storage & organization, easy sharing, clean interface. And then it does some things I enjoy but would never asked for, like the flashback emails. It's great, and I can easily imagine that I'll pay some money for it in the near future."
8/24/2013,US,5,Sparks66,2.0.5,Awesome!,"Definitely worth the $50 per year. All 23,000 of my photos are safely backed up and everything works in the background on all devices and macs. Also love the flashback emails."
8/24/2013,CA,5,parasthehurricanemehta,2.0.5,Excellent,Easy to navigate and use. What iCloud should be.
8/23/2013,CH,5,Meravino,2.0.5,👍,Everpix è un servizio eccezionale che consente di avere accesso alle proprie foto da ovunque. Ne sono altamente soddisfatto.
8/23/2013,US,5,mjpost,2.0.5,What iPhoto should be,This app is great. The daily flashbacks are one of the best features.
8/23/2013,US,5,KingNothing72,2.0.5,Great app,All my photos in one place. Love it.
8/23/2013,US,1,DogSolitude,2.0.5,Kill the Pop-Ups,Enough with the pandering pop-ups. I reviewed your wonderful service when I paid for it. Developers shouldn't be rewarded for poor behavior.
8/22/2013,IT,3,Dr. Bernardi,2.0.5,I like the app,"I think the subscription prices are too high, tho. Wouldn't mind throwing a buck or two per month, but 5 is way too much for just photos, and even with the yearly subscription it doesn't get much cheaper."
8/21/2013,IT,4,get_enzo,2.0.5,Ottima,Ottima applicazione: meriterebbe 5 stelle se ci fosse una funzione simile al backup da cloud
8/20/2013,GB,5,G9A5,2.0.5,Miles better than Flickr,A photo app I instantly paid the subscription for. Clever and useful in equal measure. Big fan.
8/19/2013,GB,5,jpsjsj,2.0.5,Awesome,"Awesome app, rediscovered so many old photos. So easy to use and it processes everything so quickly. Got my 30,000+ library in there very quickly!"
8/19/2013,US,5,Hermitcrabb,2.0.2,Finally seeing memories!,The email that sends you pics from this day in past years is a killer app. I've not gotten this much joy from my photo collection ever. Thanks!
8/19/2013,US,5,wkeving,2.0.5,Excellent tool for consolidating all photos to the cloud,"So far, Everpix delivers. The initial sync/upload from my iPhoto library of over 25K photos took over 24 hours, but it was worth it. The app meets and exceeds my expectations so far. The best feature is Flashback. I love the daily flashback showing me my historical photos. Offers a moment of daily reflection on how fast time flies."
8/19/2013,US,5,buddra,2.0.5,Perfection,This should be built into every Apple device. It's just perfect.
8/18/2013,GB,4,Stupot,2.0.5,"Great app, especially the memories page","Great app which brings my digital collection together nicely. I am using my Camera roll from my IOS devices, plus Picasa and Fickr. The memory email which I receive on most days is superb: a snapshot (sorry) of shots from a randomly selected day in the past, nicely presented, always brings a smile. Getting updates added more frequently would earn an easy 5/5."
8/18/2013,US,5,Alonso Pérez,2.0.5,One word... AWESOME,"Pros: - Total backup of your pictures from many devices as you want.- Secure data encryption - Unlimited storage. (yeah, no kidding)Cons: Hope in an older version, I could sync my videos too. It would be perfectMeanwhile, I TOTALLY RECOMMEND IT"
8/18/2013,US,5,Donnie Millar,2.0.5,"Great app, but deleting photos is a pain",It seems they don't understand the use case for bulk deleting photos. You cannot delete unwanted photos on the app and only on the website one by one.
8/18/2013,US,5,Maximus Glutius,2.0.3,Life Changing :),"This app, and Everpix in general, really has made a huge impact for my wife and I. Aside from giving us piece of mind by backing up hundreds of gigs worth of photos, it's been truly mind blowing to have access to every photo from our phones. Can't recommend it enough!"
8/17/2013,SE,5,Boppe05,2.0.5,Bästa molnbackupen för dina bilder,"Everpix löser enkelt dina problem med lagring och backup om du har tusentals bilder på din dators hårddisk. Bilderna sorteras efter datum, och går lätt att airplaya till din tv om du har en Apple TV kopplad till den. Högsta betyg! Så här borde bildhanteringen ordnas i iOS istället för funktionen ""bildström""."
8/17/2013,GB,5,Dmee,2.0.5,Amazing,Wonderful idea
8/17/2013,AU,5,Jakodai,2.0.5,Amazing!,I'm not looking at photos that I haven't seen for years. I find myself looking forward to my flashback email each morning. It's fantastic!
8/17/2013,HK,5,Norman Li,2.0.5,Great app,Great app to store all your photos in the cloud.
8/17/2013,US,4,Cfountain72,2.0.5,This is what iCloud should be...,"Does what it claims, and does it very well. We have two iPhones, two iPads, an iMac with iPhoto, and it handles photos from all sources very easily. Plus, the daily 'flashback' email is a great reminder of why we take photos to begin with: to help remember what we did and where we were.My only complaint is that it would be nice to be able to 'hide' pictures that you'd rather not see or were simply mistakes. I do understand why they choose to take in EVERY photo, but a 'hidden' folder would reduce the volume of pics to scroll through that are bad.Still, very nice work."
8/17/2013,US,5,Lelelele1978,2.0.5,Excellent app,"Beautiful, innovative, love the flashback section!"
8/17/2013,US,5,Maxplatinum,2.0.4,Phenomenal,The best.  That's all you need to know.
8/17/2013,US,5,frankkkko,2.0.5,Love this app,I deactivated photo stream and icloud backup and i'm very satisfied with this solution.
8/17/2013,US,5,James Pamplin,2.0.5,Awesome,Exactly what I needed to help with photos spread across multiple machines and phones
8/17/2013,CA,4,iHater,2.0.5,Great app overall,Excellent app for backing up your photos.  I do wish that you could delete photos directly from the app.
8/16/2013,FR,5,sebastien beague,2.0.5,Très bien !,.
8/16/2013,AU,5,Whybird,2.0.5,I'm loving it,This service is finding photos I forgot I had. Nice work!
8/16/2013,US,5,knck,2.0.5,Apple should dump a pile of cash in front of those guys,"Beautifully crafted, works seamlessly and fast, no hassle whatsoever. Highly recommended."
8/16/2013,US,5,westonotes,2.0.5,Easy & great.,Very useful.
8/16/2013,US,5,Thrilla Jay,2.0.5,Awesome!!!,I use this on every computer I own plus my 2 tablets and 2 smartphones.  It's hands down excellent
8/16/2013,US,5,dmichelr,2.0.5,Best photo backup app ever!,"I've tried a lot of options for backing up our 20,000+ photos on our computer and iPhones, and this one is by far the best!  Backs up everything in background, removes duplicates, fool proof!  Worth every penny for the subscription."
8/16/2013,CA,5,Far,2.0.5,This changes everything,I now have access to years of photos from everywhere. Thanks for liberating my photo collection!
8/15/2013,US,5,Jzn99,2.0.4,perfect,"I love this app! it's awesome! I feel a lot safer with my photos now, the only thing I wish was changed was the fact they you can't import photo stream or any other photo albums from your phone. otherwise though, this is a great app! I think everyone should get it"
8/15/2013,US,3,Frustated zynga poker player,2.0.4,"Great service, decent app","While I am happy with Everpix overall, I can't give this app 5 stars until it supports basic functionalities like:- deleting a photo- a slideshow mode.Other items on my wish list:- Photo organization abilities (into albums etc)- slideshows with support to stream to a Apple TV and a Google Chromecast- Photo metadata editing, such as the date or location"
8/15/2013,IT,5,Lucaslawyer,2.0.2,Fantastica!,L'app definitiva per la condivisione di foto e pure gratuita!! 10 e lode
